tweet_text,created_at,n_words,party
"@realDonaldTrump Don, you do not have to be liked. Only Kennedy was liked and YOU ARE NOTHING LIKE KENNEDY! Rush is… https://t.co/dKeRHFMGQE",2017-02-17 11:53:29,8,Rep
@RuwaydaMustafah @realDonaldTrump #FAKENEWS HE HAD FAMILY COMMITTMENT BUT THANKS FOR UR OPINION. DO U SIT DOWN TO PEE,2017-02-17 11:53:46,8,Rep
"@realDonaldTrump Rational, mentally healthy people are not happy.",2017-02-17 11:53:47,6,Rep
@realDonaldTrump even Shep Smith thought you were WRONG yesterday- @FoxNews you live in a fantasy world and distort the truth. Shame on you,2017-02-17 11:53:51,12,Rep
@Reince Take care of your dislike disfuncional candidate. @HillaryClinton is doing fine thank you. #ManyPeopleAreSaying you are losing.,2016-08-30 14:41:44,8,Dem
@POTUS @realDonaldTrump Put a common man with uncommon intelligence in for Flynn! Choose me for National Security Advisor. I will amaze!,2017-02-17 08:46:54,11,Rep
Careful what you tweet. It can sometimes be prophetic https://t.co/luLhyuHYKC,2017-02-17 08:47:27,5,Nothing
"@realDonaldTrump You are a grossly obese, unhealthy old man - mentally and physically.  Get your shit together man.",2017-02-17 08:48:00,11,Rep
"@realDonaldTrump Ok short bus, like the Muslin ban WONT HAPPEN. No 1 is actually taking u serious at this point. They're trying 2 get u out.",2017-02-17 11:51:41,18,Rep
@realDonaldTrump He clearly lives in his breitbart / Jones parallel world,2017-02-17 11:51:52,6,Rep
@realDonaldTrump and 20 million Americans are terrified of losing their access to healthcare.,2017-02-17 11:51:53,7,Rep
"@JoyAnnReid @SMShow @maddow @realDonaldTrump 
So stopping the TPP ✔
Increased Market confidence ✔
keeping campaign promises check",2017-02-17 11:52:01,9,Rep
@DELTA_PUGS @OfficialSPGB @realDonaldTrump Read up on history &amp; current events and you'll realize that #autocracy &amp; #idiocracy are garbage.,2017-02-17 11:52:03,8,Rep
@realDonaldTrump fake President.  You're an ass.  Get mental help,2017-02-17 11:52:11,6,Rep
"@realDonaldTrump That's why I voted for you, not to just shake things up but to shake the HELL out of it! 
LLTR!",2017-02-17 11:52:15,7,Rep
"@muneebur481 @RuwaydaMustafah @realDonaldTrump Let us be honest my dear, Muslims attacked Non-Muslim countries B 4 even USA was created",2017-02-17 11:52:31,14,Rep
"@mikd33 @realDonaldTrump cute pic but media filled with partisan opinions, hate &amp;vitriol. can't fool the people, we see OURSELVES&amp;HATE MSM",2017-02-17 11:52:36,16,Rep
"Small minded, small hands, small crowd sizes. @realDonaldTrump",2017-02-17 11:52:46,7,Rep
"@realDonaldTrump - nothing you said made sense, you couldn't answer a question with a straight answer.",2017-02-17 11:52:49,8,Rep
"Good job yesterday Mr. President,  keep sticking it to those media reprobates!!!! https://t.co/iebexqkSUy",2017-02-17 11:52:55,9,Nothing
@Mikel_Jollett But Saudi Arabia financing @HillaryClinton's campaign is ok? What about her daughter having a $3 million wedding? #LockHerUp,2017-02-17 11:53:01,9,Dem
SA Breaking News (@SABreakingNews) | @realDonaldTrump wages war with media. https://t.co/BZ76bO0eby  @POTUS… https://t.co/FvzuOSDJdA,2017-02-17 11:53:27,6,Rep
"@postdiscipline @davidaxelrod @realDonaldTrump actually believed promises. Polling shows those gaps falling away, leaving rabid base only.",2017-02-17 11:53:28,11,Rep
